ID,Gaussian,Gamma,ROT2,ROT1,RTLLR,DPMM,GMM
100093,0.015058799,0.0111568,0.005083277,0.004045775,0.001998487,0.002454349,0.002374096
100378,0.091867836,0.078509845,0.054969641,0.045265381,0.002237392,0.007163666,0.00214784
101224,0.009431234,0.005672626,0.004242939,0.003919536,0.002973411,0.015036645,0.004003424
100299,0.045161855,0.038368291,0.020244485,0.015674064,0.001622652,0.007529335,0.001631938
100909,0.01073613,0.006394764,0.005084196,0.004777457,0.003496748,0.009805378,0.002060038
101044,0.020154835,0.014728206,0.009294322,0.007361913,0.002642642,0.003228781,0.003128442
100511,0.048077811,0.041729926,0.032259892,0.027768288,0.003907766,0.006581732,0.002824886
100795,0.093131455,0.084689938,0.064585647,0.056106087,0.001296614,0.0053678,0.002406923
101251,0.069744556,0.063639447,0.033445447,0.027051682,0.005462546,0.003047564,0.002548044
100562,0.096631144,0.06024433,0.03708348,0.025371144,0.004769645,0.008673866,0.003654198
100351,0.04174914,0.019566835,0.037849509,0.036590696,0.035922021,0.025284389,0.007837046
101249,0.063681691,0.037358027,0.039602428,0.032648269,0.004047611,0.008606072,0.002323624
100806,0.029242441,0.020131612,0.018211368,0.016092607,0.002728334,0.007732964,0.002047916
101710,0.085767628,0.029769444,0.07033477,0.065032229,0.039086271,0.019688323,0.017622948
100348,0.053994112,0.045367201,0.038283178,0.034099919,0.003348498,0.010703618,0.001792162
101644,0.100387704,0.061327882,0.042856274,0.033989232,0.003416472,0.006516134,0.002485568
101382,0.024052057,0.021264649,0.019482044,0.018013624,0.014486886,0.044143538,0.002434922
101668,0.043892328,0.039250358,0.027851927,0.023989431,0.004264095,0.01049086,0.00220662
100874,0.01433271,0.0084373,0.004128395,0.003232278,0.002622559,0.002597408,0.002085111
101421,0.03494199,0.033724659,0.009794831,0.008052701,0.004484055,0.005029027,0.002535048
101414,0.047690582,0.045316004,0.041774274,0.039499103,0.025904989,0.033707625,0.003594801
101114,0.05623104,0.047421338,0.032897049,0.02748827,0.002955577,0.004533671,0.001813223
101369,0.011285577,0.011088391,0.00999105,0.009983205,0.011045159,0.060814815,0.004713936
101475,0.018282042,0.013262189,0.005414874,0.004778243,0.004076819,0.0029621,0.002201509
101502,0.007615707,0.004342895,0.002070107,0.001940577,0.001833506,0.002371556,0.002022646
100163,0.089149394,0.039522933,0.066988283,0.059698154,0.025731149,0.007889873,0.003302141
100799,0.017705554,0.012508371,0.007855781,0.007054309,0.003232885,0.007715958,0.0027194
100092,0.067800668,0.044379832,0.037077661,0.029019095,0.002082198,0.009248785,0.001758201
100656,0.021636685,0.015543827,0.007225555,0.005401601,0.00307979,0.004697011,0.002174822
101608,0.013686921,0.009230063,0.00516145,0.003832706,0.001261226,0.003225322,0.001722532
100984,0.03660431,0.025299211,0.023081213,0.018905983,0.010974712,0.016849843,0.002369102
100396,0.101643696,0.09385487,0.049725498,0.0374608,0.016125982,0.043173756,0.00173805
100853,0.104040847,0.092650498,0.078051986,0.070341176,0.00244747,0.008420445,0.001944373
100384,0.013772392,0.01499086,0.005172298,0.004208814,0.002871045,0.006237066,0.004253033
101256,0.071155098,0.06267009,0.048197861,0.042376999,0.002504783,0.012824681,0.002238884
100224,0.024804362,0.022867661,0.012062943,0.009006098,0.002767366,0.012844274,0.002238281
100191,0.049322902,0.046055048,0.039782161,0.035754927,0.003347009,0.009216545,0.00231726
100631,0.010923718,0.005961952,0.003452545,0.003046938,0.002764783,0.002410696,0.002010224
100018,0.062743956,0.03285779,0.046498951,0.041294289,0.01078411,0.057203725,0.01081799
101047,0.05894895,0.050022381,0.032045599,0.025973261,0.002262152,0.008322697,0.002567131
100714,0.055421106,0.049742769,0.042163072,0.037546307,0.008258431,0.015986302,0.00238195
100015,0.09068689,0.090579626,0.050629319,0.041414079,0.002100777,0.025568245,0.002621998
100740,0.048345302,0.040858062,0.032656856,0.028938297,0.002919359,0.019285427,0.002804967
101358,0.065069191,0.063994799,0.02313763,0.017268586,0.002433867,0.006456216,0.002059205
101562,0.032365886,0.023779104,0.018918998,0.015468299,0.002504195,0.005794312,0.002380922
100515,0.091122914,0.041494459,0.069208966,0.062198077,0.014905082,0.016377533,0.001872212
101099,0.017782031,0.016396862,0.015292413,0.014596114,0.011125288,0.026120569,0.002157919
100402,0.075891468,0.040624269,0.031415941,0.023565073,0.002782859,0.024129753,0.001997887
100083,0.041445119,0.028743175,0.023636841,0.020356048,0.004381608,0.003146956,0.002043452
100581,0.029608832,0.026903502,0.023527594,0.021718071,0.01327267,0.040748079,0.002812558
100409,0.01412767,0.015201648,0.006481941,0.005773974,0.003613499,0.003564415,0.002195583
101435,0.106715729,0.069982285,0.047317256,0.036405987,0.006030065,0.033065024,0.00353751
100884,0.109444964,0.032526562,0.082697223,0.074755445,0.022520598,0.009765599,0.002548177
