ID,Gamma,Gaussian,RTLLR,ROT1,ROT2,
100705,0,0,0.419008059,0,0,
101200,0,0,0,0,0,
101141,0,0,1.70E-07,0,0,
101119,0,0,0,0,0,
100487,0,0,0.014879448,3.89E-14,0,
100233,0,0,0,0,0,
100364,0,0,0,0,0,
100555,0,0,0,0,0,
101554,0,0,2.80E-09,0,0,
101079,0,0,0.090917303,8.30E-13,0,
100323,0,0,0.780359732,0,0,
101640,0,0,0.096086679,0,0,
101655,0,0,0,0,0,
100200,0,0,0,0,0,
100847,0,0,0.121723729,0,0,
100235,0,0,0.287877487,0,0,
100693,0,0,0.056781795,0,0,
101683,0,0,0.141045131,0,0,
100751,0,0,0.152602147,0,0,
101760,0,0,0,0,0,
100305,0,0,0,0,0,
101771,0,0,0,0,0,
100138,0,0,0.001722966,0,0,
100257,0,0,0.149079711,1.75E-06,8.65E-10,
100208,0,0,0,0,0,
101413,0,0,0,0,0,
101304,0,0,0,0,0,
100450,0,0,0.000332525,0,0,
100066,0,0,0.01725075,0,0,
100533,1.81E-09,0,0.112282321,3.45E-05,1.57E-08,
100389,1.13E-08,1.95E-05,8.72E-05,1.91E-06,1.80E-06,
100050,0,0,0,0,0,
101454,0,0,0.017212881,0,0,
101160,0,0,0,0,0,
101670,0,0,2.28E-07,0,0,
101685,0,0,0,0,0,
101337,0,0,0,0,0,
100728,0,0,0.299277029,0,0,
100538,0,0,0.008853608,0,0,
101346,0,0,0.459269836,0.0020273,3.13E-06,
101458,0,0,9.51E-10,0,0,
101787,0,0,0.004117839,0,0,
101628,0,0,0.741955958,0.000217984,9.83E-07,
101017,0,0,0.253422721,1.17E-14,0,
100307,0,0,0,0,0,
101366,0,0,0.128859464,0.005671933,0.000409996,
100810,0,0,0.002258362,0,0,
100082,0,0,5.99E-11,0,0,
101392,0,0,0.77152328,2.93E-11,0,
100127,0,0,1.23E-06,0,0,
101149,0,0,0.002950718,0,0,
100966,0,0,0.182841352,4.63E-05,9.62E-08,
101298,0,0,0.642888554,0,0,
100617,0,0,0,0,0,
100732,0,0,0.29762342,3.33E-16,0,
101363,0,0,1.32E-07,0,0,
100683,0,0,0,0,0,
101456,0,0,0,0,0,
100435,0,0,0,0,0,
100774,6.18E-10,0,0,0,0,
100432,0,0,0,0,0,
100961,0,0,4.62E-11,0,0,
101736,1.61E-12,0,1.18E-13,1.09E-11,2.22E-16,
100107,0,0,0.034391936,6.77E-10,3.33E-16,
101735,0,0,0,0,0,
100917,0,0,0.431757042,0,0,
100995,0,0,0,0,0,
101487,0,0,0.101885636,0,0,
100673,0,0,0.276326552,0,0,
100937,0,0,4.80E-10,0,0,
101335,0,0,0.658516397,0,0,
100294,0,0,0,0,0,
100055,0,0,0.006322045,0,0,
100895,0,0,0,0,0,
100569,0,0,0.650532227,0,0,
100591,0,0,0.007776493,0,0,
100110,0,0,0,0,0,
101005,0,0,0.168787285,0,0,
101061,0,0,0.155675951,0,0,
100056,0,0,0,0,0,
100671,0,0,0,0,0,
101078,0,0,0.298787602,9.02E-08,4.37E-11,
101218,0,0,0.000381107,0,0,
101334,0,0,0,0,0,
100210,0,0,6.84E-07,0,0,
101534,0,0,3.67E-08,0,0,
101281,0,0,0,0,0,
101539,0,0,0,0,0,
100711,0,0,7.22E-15,0,0,
101462,0,0,0.511292578,0,0,
101569,2.23E-12,0,0.827556859,0.015736204,0.000352876,
100509,0,0,0,0,0,
100816,0,0,0.019920138,0,0,
101351,0,0,0.190741318,0.012044003,0.000695005,
100933,0,0,0,0,0,
101345,0,0,0.537823835,0,0,
101365,0,0,0,0,0,
101580,0,0,0.636570023,1.24E-07,7.95E-12,
100923,0,0,0.90624215,0,0,
100662,0,0,0.823901966,0,0,
