ID,Gamma,Gaussian,RTLLR,ROT1,ROT2,GMM
100902,0,0,0.01207802,0,0,0.80535994
100251,0,0,0.092698687,0.004602057,0.000163764,0.289420414
100973,4.99E-07,0,0.591014074,0.066117375,0.015112534,0.419508818
101436,2.44E-15,0,0.260325917,6.10E-14,1.44E-15,0.056294098
100625,0,0,0.783950386,0.000730278,5.68E-06,0.505636473
101774,0,0,0,0,0,0.461801795
100992,7.70E-08,3.41E-14,0.269973605,0.007423532,0.000803538,0.127114265
100026,0,0,0.197580149,0,0,0.849355721
100780,9.99E-16,0,0.086875235,2.86E-10,9.99E-16,0.605653248
100267,2.60E-13,0,0.401711618,0.004362427,0.000623507,0.137772279
100978,3.10E-05,2.22E-15,0.606849969,0.008068469,0.001161462,0.081260308
100987,0,0,5.55E-16,0,0,0.235804935
101498,0,0,0.738551692,0,0,0.445265295
101656,0.003174901,8.43E-12,0.742669649,0.003617827,0.001747654,0.167230085
100939,0,0,0.933524788,0,0,0.239116268
100842,0,0,0.360692438,0,0,0.646846799
100550,0,0,0,0,0,0.38051999
100057,0,0,0,0,0,0
100104,0,0,0,0,0,0.000493389
101769,0,0,0.072394869,1.40E-05,3.63E-10,0.027730206
100674,0,0,4.07E-10,0,0,0.715593487
101783,1.25E-05,0,0.892075306,0.004388868,0.00049653,0.673280972
101459,0,0,2.91E-12,0,0,0.711528838
100684,0,0,0,0,0,0.001555418
100394,3.38E-11,0,0.006442496,0,0,0.471438344
101447,0,0,2.00E-14,0,0,0.010527544
101703,0,0,2.14E-07,0,0,0.323890349
101050,0,0,0.390918718,2.16E-09,1.08E-13,0.547544979
100272,3.36E-09,0,0.002771583,0.000628587,9.65E-05,0.521027995
101537,0,0,0,0,0,0.027390977
101360,0,0,0,0,0,0.004844973
100353,0,0,0.012588027,0,0,0.443964902
101416,0,0,0.06437217,3.89E-15,2.22E-16,0.844230707
101594,0,0,7.33E-15,0,0,0.027374546
100064,0,0,2.47E-08,0,0,0.196140545
101375,0,0,0.749301402,0,0,0.989075339
100890,0,0,0.106392833,0,0,0.959691289
100850,0,0,0,0,0,0.149948854
101055,0,0,0.047282709,4.90E-05,1.38E-07,0.020668868
100968,0,0,0.048659069,0,0,0.287298518
100685,0,0,0.91112502,0.002087526,1.65E-05,0.634535873
101572,0,0,0.090721384,0,0,0.780181388
100147,0,0,1.18E-06,0,0,0.045756613
100137,0,0,0.338381774,0,0,0.187126558
101753,0,0,0.955115991,2.75E-12,0,0.573840819
101527,0,0,0.311243473,5.84E-11,0,0.920825312
101403,0,0,0.190906077,1.11E-16,0,0.227680379
100238,4.21E-14,0,0.074498954,0,0,0.73567311
100800,0,0,0.647067426,0,0,0.203855258
100650,0,0,0.003701368,0,0,0.238371213
101519,0,0,8.34E-13,0,0,0.65672764
101583,1.96E-08,0,0.565014009,1.20E-06,5.65E-11,0.968972988
101266,0.00107017,0,0.446200403,0.000245928,7.61E-07,0.163285417
100014,0,0,0,0,0,0.017097792
101342,0.005611069,0,0.411332773,2.52E-05,2.00E-08,0.125848974
100991,0,0,0.147095046,0,0,0.520028893
101642,0,0,5.97E-05,0,0,0.308819707
100858,4.75E-07,1.83E-10,0.586195443,0.006413662,0.00026498,0.655771211
100764,0,0,0.079877347,8.43E-08,3.71E-12,0.083580322
100951,8.31E-07,0,5.55E-16,3.33E-16,0,0.114714028
100779,0,0,3.33E-16,0,0,0.077978904
101767,0,0,0.009936766,0,0,0.137750433
101371,0.014598585,0,0.009405124,0.059267159,0.007173986,0.756758856
100252,0,0,0,0,0,0
101763,0,0,0,0,0,0
100028,0,0,0.296422356,6.27E-08,6.20E-11,0.655937957
101008,0,0,0.396006425,7.45E-06,5.43E-09,0.361520093
100350,0,0,0.26614741,6.39E-06,6.16E-10,0.823807472
100097,1.04E-09,0,0.88810706,0.115265888,0.049862981,0.962630745
101272,0,0,0,0,0,0
100593,0,0,0,0,0,2.03E-07
100179,0,0,0,0,0,2.76E-08
101620,0,0,0.47759814,0,0,0.266634148
101566,0,0,5.85E-08,0,0,0.198268028
101667,0,0,0.314099376,0,0,0.768394326
