ID,Gaussian,Gamma,ROT2,ROT1,RTLLR,DPMM,GMM
101711,0.11341365,0.522555082,0.29658718,0.371798107,0.577842214,0.169058788,0.879166377
101526,-0.031890785,0.110542836,0.187967976,0.241761412,0.996364087,0.991237898,0.997698262
101754,0.253345876,0.522993096,0.814512871,0.888253255,0.995487567,0.991336213,0.997349462
100998,0.08470848,0.263450502,0.420664065,0.511709367,0.956910276,0.94633063,0.995638139
100247,0.148563898,0.36515516,0.524510153,0.610398021,0.995334721,0.980622714,0.99872753
100726,0.412090898,0.649388577,0.842935425,0.898340603,0.97650872,0.879026346,0.973675484
100556,0.042805817,0.813211048,0.264694019,0.328606296,0.955519803,0.949491036,0.994358446
100623,0.204278855,0.751686991,0.77706355,0.858865119,0.993031828,0.923361935,0.997828991
100793,0.262748138,0.258775808,0.490957191,0.571771647,0.989358759,0.475658741,0.990233926
101714,0.179786134,0.396097002,0.417525146,0.486020079,0.966272759,0.86977321,0.997591518
100093,0.535000511,0.739728927,0.938042039,0.959523193,0.989246738,0.99446086,0.994817179
100378,0.050167475,0.225898121,0.505846992,0.602500453,0.99583169,0.950199713,0.995523229
101224,0.454022278,0.834468841,0.919224728,0.943463766,0.975632445,0.925656846,0.994730102
100299,0.286834223,0.477219113,0.843668812,0.903859965,0.996743546,0.95167572,0.997729825
100909,0.564787696,0.877836982,0.941629246,0.953919341,0.982793245,0.951963331,0.997879713
101044,0.430022866,0.688502019,0.869176566,0.918575244,0.990601102,0.993783253,0.994163638
100511,0.12604386,0.322619879,0.573297316,0.672480186,0.992104182,0.970124751,0.994496575
100795,0.058300403,0.192978559,0.482651319,0.592003679,0.995296787,0.975720064,0.995118209
101251,0.078628607,0.22558884,0.7661992,0.842787542,0.971733752,0.979184833,0.985449156
100562,-0.008848126,0.106849869,0.209338151,0.240882674,0.994370345,0.956187116,0.992223922
100351,0.10699581,0.887346571,0.380483087,0.454230702,0.472792288,0.885262866,0.988976897
101249,0.167181205,0.549143037,0.619207613,0.717684723,0.996642329,0.959262335,0.997030264
100806,0.433263869,0.72710259,0.772438151,0.82340472,0.992488788,0.928514489,0.994986394
101710,0.057729529,0.870632827,0.254638373,0.321463815,0.714446721,0.93023662,0.944105745
100348,0.070737956,0.246146859,0.385634569,0.460767565,0.996606773,0.958540105,0.998837691
101644,0.016232024,0.164875789,0.319415126,0.388066962,0.996821608,0.97842942,0.996861421
101382,0.196759434,0.393511289,0.500716411,0.580078526,0.748891064,0.608112906,0.998807669
101668,0.178014985,0.331321449,0.644759867,0.729928075,0.984750708,0.935131296,0.997130091
100874,0.748611221,0.901239418,0.964679772,0.973318861,0.979892164,0.970229025,0.980814581
101421,0.047043896,0.094015777,0.3721853,0.412582968,0.962303838,0.871861865,0.967440103
101414,0.162875298,0.308482235,0.50624879,0.613835846,0.801437986,0.781883923,0.997519261
101114,0.136908878,0.351329088,0.643940173,0.730678055,0.99743374,0.984070489,0.997451969
101369,0.261017895,0.342366577,0.777847489,0.827302171,0.362196392,0.291765224,0.995744743
101475,0.668191834,0.811138474,0.950551064,0.956837145,0.960859349,0.961459926,0.978711063
101502,0.902782974,0.962026789,0.984100753,0.984910237,0.985134118,0.983965976,0.988336859
100163,0.035616227,0.636486457,0.193904745,0.242620598,0.899149342,0.982478835,0.996930878
100799,0.584443652,0.73571626,0.825589233,0.837642989,0.946890911,0.599545863,0.950258442
100092,0.104081826,0.349548214,0.520415575,0.613734194,0.997925588,0.952141768,0.998270485
100656,0.555896825,0.754156974,0.927653783,0.949509794,0.968931358,0.90489166,0.979609738
101608,0.576020708,0.812251572,0.944140869,0.969242654,0.996499574,0.993740086,0.998214513
100984,0.225767151,0.465012448,0.527351226,0.607142198,0.931828999,0.77268569,0.995506314
100396,0.003791077,0.04818328,0.260143708,0.321464717,0.9276471,0.006179672,0.998389381
100853,0.04144079,0.197943831,0.369812881,0.450780423,0.997750204,0.962939383,0.998023933
100384,0.667949176,0.613499035,0.927371114,0.943361453,0.974663941,0.929444911,0.967193104
101256,0.111399968,0.259773905,0.483069222,0.570409516,0.99705571,0.876761119,0.996244067
100224,0.546498316,0.61213619,0.876205342,0.923052249,0.977596184,0.54957697,0.986321742
100191,0.10475469,0.165847821,0.283027512,0.356551045,0.983244542,0.940886676,0.996263212
100631,0.806392931,0.936248292,0.973574201,0.977838332,0.980815161,0.985902696,0.990197428
100018,0.134643026,0.701523703,0.40550782,0.486742573,0.931337754,0.16742386,0.970223852
101047,0.168180218,0.357456579,0.664872536,0.744045303,0.983671138,0.896794729,0.990180946
100714,0.152400192,0.308783208,0.496368457,0.596440696,0.959538781,0.881475525,0.997368657
100015,0.031739127,0.032701146,0.556684881,0.64122961,0.983679187,0.034052683,0.989841813
100740,0.197071885,0.418868298,0.632491701,0.710372568,0.996199011,0.798834904,0.99574451
101358,-0.162474752,-0.131683028,0.77377648,0.838850742,0.96154099,0.767989283,0.976397883
101562,0.32182036,0.56504532,0.686406203,0.760146371,0.985287727,0.963451198,0.99382894
100515,0.018159667,0.134403835,0.127438813,0.160402624,0.938706504,0.912963049,0.99886259
101099,0.080227468,0.660796936,0.513635421,0.619322719,0.96773047,0.834120144,0.998867864
100402,0.038009909,0.302499706,0.378666437,0.419502552,0.994346786,0.412329507,0.995971252
100083,0.174986244,0.534993891,0.655741713,0.728131973,0.982000466,0.95754935,0.982100864
100581,0.15117735,0.310417317,0.489176423,0.568000645,0.865995575,0.54524301,0.997833453
100409,0.765582035,0.731541643,0.933564986,0.943562533,0.968688236,0.940434952,0.97739968
101435,0.022612369,0.411009124,0.536516441,0.602034133,0.940621484,0.025031561,0.988840409
100884,0.016013945,0.75353618,0.143020262,0.18251333,0.959156875,0.978999818,0.998570169
101505,0.213762026,0.19977516,0.566232212,0.647496241,0.978718457,0.202125815,0.990981769
100911,0.446180492,0.720514792,0.789100127,0.850116412,0.984018815,0.97262952,0.99483569
100393,0.051838069,0.151035143,0.330532385,0.411452853,0.979297876,0.967528441,0.998477159
101145,0.5587991,0.325553613,0.743498307,0.778465188,0.935048578,0.585171733,0.954902714
101319,0.620136059,0.848582398,0.935989266,0.958847912,0.978042282,0.755907498,0.992717651
100551,0.070495982,0.764116428,0.342753971,0.418880675,0.891161958,0.876338099,0.994787276
100787,0.039011009,0.278308922,0.318450723,0.399166776,0.995794852,0.993283118,0.99947175
100501,0.078645873,0.243805643,0.422537306,0.482197595,0.993291408,0.497435568,0.996333846
101549,0.20090624,0.279830935,0.333700283,0.369782299,0.96971027,0.820836805,0.990883104
100721,0.093943012,0.213144916,0.410652095,0.506437573,0.998973039,0.990745113,0.999492769
101433,0.230418108,0.764737096,0.752667264,0.81382992,0.976004445,0.870185569,0.972892181
100930,0.086072472,0.349148976,0.744010359,0.81008163,0.97957029,0.089328245,0.973210997
100491,0.128498238,0.366876446,0.486922405,0.568976281,0.996219603,0.980781924,0.99555693
100086,0.852938448,0.83481179,0.96489912,0.976566695,0.985814468,0.878514675,0.993623106
101199,0.341745656,0.637737497,0.865977716,0.902118332,0.987847137,0.92920507,0.991351741
101733,0.169654716,0.54447817,0.621263125,0.688875927,0.680840089,0.80180269,0.983453349
100240,0.363048403,0.593774364,0.760638368,0.799616792,0.98230878,0.888120198,0.993683562
100149,0.801639358,0.841254835,0.95921134,0.965779837,0.970665005,0.869401143,0.978812613
100537,0.099266691,0.256505457,0.279138603,0.329514738,0.993821075,0.957562153,0.993757162
101481,0.317942326,0.798123651,0.836525054,0.874304451,0.953354161,0.955109881,0.991267977
100156,0.266453226,0.469191149,0.739207129,0.805708967,0.958346204,0.789230243,0.995771528
101088,0.773963228,0.923377963,0.946773257,0.956731503,0.978078619,0.941628296,0.980015445
100894,0.034748431,0.160932293,0.280507351,0.350849703,0.995048942,0.996838943,0.99919408
101192,0.176522239,0.416856822,0.90511072,0.938289462,0.973466537,0.185676792,0.981490839
101162,0.073419001,0.247161299,0.527259399,0.636301723,0.993333343,0.987362102,0.99786067
101449,0.19325088,0.37522864,0.613171537,0.685618878,0.991810282,0.870433167,0.996301392
101428,0.10064571,0.333838761,0.680923186,0.756849317,0.987861868,0.700462539,0.984963539
100008,0.816243794,0.891026309,0.965643625,0.972103455,0.980839069,0.989364208,0.988457998
101633,0.49998156,0.732588809,0.913209534,0.944836916,0.98119395,0.923079598,0.990978994
